hum,tempdegc,gasconc
71.6,31.7,265
71.7,31.7,264
71.7,31.7,264
71.8,31.7,264
71.8,31.7,264
71.7,31.6,264
71.7,31.6,264
71.9,31.7,264
71.9,31.7,264
71.8,31.6,264
71.8,31.6,264
71.9,31.6,264
71.9,31.6,264
72,31.6,263
72,31.6,263
72,31.6,263
72,31.6,263
72.1,31.6,263
72.1,31.6,264
72.1,31.6,264
72.1,31.6,264
72.2,31.6,264
72.2,31.6,264
72.2,31.5,264
72.2,31.5,264
72.2,31.5,264
72.2,31.5,264
72.3,31.5,264
72.3,31.5,264
72.3,31.5,263
72.3,31.5,264
72.3,31.5,264
72.3,31.5,264
72.4,31.5,264
72.4,31.5,263
72.3,31.4,264
72.3,31.4,264
72.4,31.4,264
72.4,31.4,264
72.4,31.4,264
72.4,31.4,263
72.5,31.4,264
72.5,31.4,263
72.6,31.4,263
72.6,31.4,263
72.6,31.4,263
72.6,31.4,263
72.6,31.4,263
72.6,31.4,262
72.7,31.4,263
72.7,31.4,263
72.7,31.4,263
72.7,31.4,262
72.8,31.4,262
72.8,31.4,262
72.7,31.3,261
72.7,31.3,261
72.7,31.3,260
72.7,31.3,259
72.8,31.3,258
72.8,31.3,257
72.8,31.3,257
72.8,31.3,256
72.9,31.3,256
72.9,31.3,255
72.9,31.3,254
72.9,31.3,254
73,31.3,254
73,31.3,253
73,31.3,253
73,31.3,253
73,31.3,253
73,31.3,253
73,31.2,253
73,31.2,253
73,31.2,253
73,31.2,253
73,31.2,253
73,31.2,253
73,31.2,252
73,31.2,251
73.1,31.2,251
73.1,31.2,251
73.1,31.2,250
73.1,31.2,250
73.1,31.2,249
73.1,31.2,249
73.2,31.2,249
73.2,31.2,249
73.2,31.2,249
73.2,31.2,249
73.3,31.2,249
73.3,31.2,249
73.3,31.2,249
73.3,31.2,249
73.3,31.2,249
73.3,31.2,249
73.3,31.2,248
73.3,31.2,248
73.4,31.2,248
73.4,31.2,247
73.4,31.2,247
73.4,31.2,247
73.4,31.1,246
73.4,31.1,246
73.4,31.2,246
73.4,31.2,245
73.4,31.1,245
73.4,31.1,245
73.4,31.1,245
73.4,31.1,244
73.5,31.1,244
73.5,31.1,243
73.5,31.1,243
73.5,31.1,242
73.5,31.1,242
73.5,31.1,242
73.5,31.1,242
73.5,31.1,241
73.5,31.1,241
73.5,31.1,241
73.5,31.1,241
73.5,31.1,241
73.6,31.1,242
73.6,31.1,242
73.6,31.1,242
73.6,31.1,242
73.7,31.1,243
73.7,31.1,242
73.7,31.1,242
73.7,31.1,242
73.6,31,242
73.6,31,242
73.6,31,242
73.6,31,242
73.7,31,242
73.7,31,242
73.8,31.1,242
73.8,31.1,242
73.7,31,242
73.7,31,242
73.7,31,242
73.7,31,242
73.8,31,242
73.8,31,242
73.8,31,242
73.8,31,242
73.8,31,242
73.8,31,242
73.8,31,242
73.8,31,242
73.9,31,242
73.9,31,241
73.9,31,241
73.9,31,241
73.9,31,241
73.9,31,241
73.9,31,241
73.9,31,241
74,31,241
74,31,241
74,31,241
74,31,241
74,31,241
74,31,241
74,31,241
74,31,241
74,30.9,242
74,30.9,242
74,31,242
74,31,243
74,30.9,243
74,30.9,243
74,30.9,243
74,30.9,243
74.1,31,243
74.1,31,243
74.1,31,243
74.1,31,243
74.1,30.9,243
74.1,30.9,243
74.2,31,242
74.2,31,242
74.2,31,242
74.2,31,241
74.1,30.9,241
74.1,30.9,241
74.2,30.9,241
74.2,30.9,241
74.2,30.9,241
74.2,30.9,241
74.2,30.9,241
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,240
74.2,30.9,239
74.2,30.9,239
74.2,30.9,238
74.2,30.9,238
74.2,30.9,237
74.3,30.9,237
74.3,30.9,236
74.3,30.9,236
74.3,30.9,236
74.3,30.9,236
74.3,30.9,236
74.3,30.9,236
74.3,30.9,236
74.3,30.9,236
74.3,30.9,236
74.3,30.9,237
74.3,30.9,237
74.3,30.9,237
74.3,30.9,237
74.3,30.9,237
74.3,30.9,237
74.3,30.9,237
74.3,30.9,237
74.3,30.9,237
74.3,30.9,237
74.4,30.9,237
74.4,30.9,237
74.4,30.9,236
74.4,30.9,236
74.4,30.9,236
74.4,30.9,235
74.4,30.8,235
74.4,30.8,235
74.4,30.8,235
74.4,30.8,235
74.4,30.8,235
74.4,30.8,235
74.4,30.8,235
74.4,30.8,235
74.4,30.8,235
74.4,30.8,235
74.5,30.9,235
74.5,30.9,235
74.4,30.8,234
74.4,30.8,234
74.4,30.8,234
74.4,30.8,234
74.4,30.8,233
74.4,30.8,233
74.5,30.9,233
74.5,30.9,233
74.5,30.9,233
74.5,30.9,232
74.5,30.9,233
74.5,30.9,233
74.5,30.9,233
74.5,30.9,233
74.5,30.8,233
74.5,30.8,233
74.5,30.8,233
74.5,30.8,233
74.5,30.8,233
74.5,30.8,233
74.5,30.8,233
74.5,30.8,234
74.5,30.8,234
74.5,30.8,234
74.5,30.8,234
74.5,30.8,234
74.5,30.8,235
74.5,30.8,232
74.5,30.8,269
74.5,30.8,526
74.7,30.8,699
74.7,30.8,742
74.6,30.8,782
74.6,30.8,769
74.6,30.8,721
74.6,30.8,694
74.7,30.8,665
74.7,30.8,634
74.7,30.8,620
74.7,30.8,588
74.7,30.8,558
74.7,30.8,532
74.7,30.8,508
74.7,30.8,485
74.7,30.8,465
74.7,30.8,446
74.7,30.8,430
74.7,30.8,413
74.7,30.8,399
74.7,30.8,388
74.7,30.8,379
74.7,30.8,369
74.7,30.8,360
74.7,30.8,351
74.7,30.8,344
74.7,30.8,338
74.7,30.8,331
74.7,30.8,325
74.8,30.8,321
74.8,30.8,320
74.8,30.8,316
74.8,30.8,311
74.9,30.8,305
74.9,30.8,300
74.9,30.8,296
74.9,30.8,329
74.9,30.8,440
74.9,30.8,493
75,30.8,500
75,30.8,475
75.1,30.8,440
75.1,30.8,412
75.1,30.8,398
75.1,30.8,562
75.2,30.8,709
75.2,30.8,781
75.5,30.8,741
75.5,30.8,709
76.7,30.7,669
76.7,30.7,648
77.7,30.8,659
77.7,30.8,635
77.9,30.8,605
77.9,30.8,565
77.9,30.8,532
77.9,30.8,580
76.7,30.9,558
76.7,30.9,556
76,30.9,829
76,30.9,853
75.6,30.9,866
75.6,30.9,855
75.3,30.9,853
75.3,30.9,852
75.5,31,837
75.5,31,813
75.9,30.9,791
75.9,30.9,760
76.8,30.9,730
76.8,30.9,699
76.9,30.9,664
76.9,30.9,645
76.6,30.9,624
76.6,30.9,595
76.3,30.9,571
76.3,30.9,552
76.1,31,535
76.1,31,529
75.9,31,514
75.9,31,498
75.9,31,483
75.9,31,468
75.7,31,447
75.7,31,434
75.6,31,429
75.6,31,420
75.5,31,411
75.5,31,403
75.4,31,395
75.4,31,387
75.2,31,379
75.2,31,375
75.2,31.1,370
75.2,31.1,365
75.5,31.1,359
75.5,31.1,353
75.4,31.1,348
75.4,31.1,342
75.3,31.1,336
75.3,31.1,331
75.2,31.1,326
75.2,31.1,322
75,31.1,318
75,31.1,315
74.9,31.1,314
74.9,31.1,313
74.9,31.1,310
74.9,31.1,308
74.9,31.1,305
74.9,31.1,301
75,31.2,299
75,31.2,297
75.4,31.2,295
75.4,31.2,293
75.6,31.2,291
75.6,31.2,289
75.8,31.2,286
75.8,31.2,283
75.6,31.2,280
75.6,31.2,278
75.4,31.2,276
75.4,31.2,275
75.3,31.2,274
75.3,31.2,272
75.2,31.2,272
75.2,31.2,272
75,31.2,272
75,31.2,270
75,31.2,268
75,31.2,266
74.8,31.2,265
74.8,31.2,264
74.7,31.2,262
74.7,31.2,261
74.8,31.3,260
74.8,31.3,259
74.7,31.3,257
74.7,31.3,256
74.6,31.3,196
74.6,31.3,165
74.5,31.3,298
74.5,31.3,268
74.5,31.3,314
74.5,31.3,300
74.6,31.3,267
74.6,31.3,267
74.8,31.3,301
74.8,31.3,270
75.1,31.3,270
75.1,31.3,364
75.3,31.3,224
75.3,31.3,271
75.2,31.3,272
75.2,31.3,268
75,31.4,267
75,31.4,266
75.2,31.4,320
75.2,31.4,254
75.1,31.4,395
75.1,31.4,268
74.9,31.4,379
74.9,31.4,269
75.2,31.4,273
75.2,31.4,270
75.3,31.5,269
75.3,31.5,267
75.1,31.5,268
75.1,31.5,264
75.1,31.5,261
75.1,31.5,258
75.1,31.5,255
75.1,31.5,253
74.8,31.6,251
74.8,31.6,250
74.5,31.6,248
74.5,31.6,247
74.3,31.6,245
74.3,31.6,246
74.1,31.6,244
74.1,31.6,243
74.2,31.6,242
74.2,31.6,241
74.1,31.6,244
74.1,31.6,243
